task,model,input_tokens,output_tokens
creation/task1,cursor_gpt41,100,14511
creation/task2,cursor_gpt41,176,2437
creation/task3,cursor_gpt41,106,993
creation/task4,cursor_gpt41,84,3029
creation/task5,cursor_gpt41,196,1470
refactoring/task1,cursor_gpt41,51,9207
refactoring/task2,cursor_gpt41,156,18428
debugging/task1,cursor_gpt41,82,8028
debugging/task2,cursor_gpt41,110,28818
debugging/task3,cursor_gpt41,227,2242
creation/task1,cursor_claude37,101,5827
creation/task2,cursor_claude37,177,2099
creation/task3,cursor_claude37,107,1985
creation/task4,cursor_claude37,85,34181
creation/task5,cursor_claude37,197,6149
refactoring/task1,cursor_claude37,52,12625
refactoring/task2,cursor_claude37,157,12199
debugging/task1,cursor_claude37,84,5828
debugging/task2,cursor_claude37,111,1941
debugging/task3,cursor_claude37,229,9638
